age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AH	1		MUCH		887.7	1623.9	2956.5	143.4	144.6	365.6	433.617	433.597	433.657	0.06	6	2	5	1	2	0										898.4	1546.2	884.8	1633	851.6	1715.2	841.8	1790.7	863.9	1824.2	5	910	1588	2967	6.16123	1	much	433.6121
												OW	1		KNOW		877.8	1625.6	1823.9	173.6	230.3	940.2	434.651	434.616	434.787	0.171	63	0	0	0	4	0										875.5	1633.7	942.7	1493.9	927	1408.3	845.6	1276.8	781.4	1148.4	6	1009	1539	3229	62.0004	1	know	434.6762
												OW	1		KNOW		835.8	1466.9	2949.8	64.1	122.9	193.7	435.139	435.117	435.577	0.46	63	0	0	0	4	0										817.9	1224.4	680.6	1087.5	698.3	1063.8	688.8	981.3	724.6	901.6	5	844	1259	3042	62.0004	1	know	435.2061
												AE	1		CAN'T		716.2	2547.1	3233.2	104.8	175.5	372.6	435.86	435.827	435.927	0.1	3	4	4	2	6	3										684.2	2630	720.7	2537.4	763.7	2473	819.6	2419.7	860	2315.2	4	725	2500	3194	3.44203	1	can't	435.8685
												AH	1		JUDGE		797	1800.2	3002.5	81.3	177.1	218.2	436.327	436.297	436.387	0.09	6	2	5	2	5	0										794.4	1833.1	797.1	1802	796.2	1868.8	778.4	1951.9	692.7	2026.8	4	788	1752	2908	6.2525	1	judge	436.3272
												IH	1		HEAR		523.9	2392.2	2685.2	117.6	155.5	179.6	437.174	437.147	437.227	0.08	14	6	4	2	0	0										488.6	2478.7	528	2383.9	585.2	2278.8	637	2157.3	661.8	2024	5	555	2357	2670	14.6	1	hear	437.1805
												AW	1		ABOUT		840.9	1460.3	2581.9	56.5	89.3	111.8	437.361	437.337	437.447	0.11	42	1	4	1	1	0										838.9	1458.6	866.8	1486.2	869.5	1508	825.5	1566.8	758.2	1642.8	5	895	1520	2757	42.1411	1	(a)bout	437.3885
												IH	1		HEAR		596.4	2177.4	2478.5	108.6	191.9	236.3	438.007	437.987	438.047	0.06	14	6	4	2	0	0										567.8	2206.5	598.7	2172.7	608.2	2117.5	617.5	2053.5	622.8	1999.2	5	604	2211	2524	14.6	1	hear	438.0067
												AE	1		BAD		740.1	2335.7	3034	68.2	126.1	211	439.124	439.067	439.237	0.17	3	1	4	2	1	0										721.2	2299.1	743.7	2331.7	845.2	2229.2	913.4	2139.5	817.9	2102.9	4	722	2320	2982	3.1421	1	bad	439.1164
												AY	1		I		945.6	1709.9	3267.2	139.9	286.1	166.6	440.384	440.323	440.483	0.16	41	0	0	0	0	0										910.5	1385.7	944	1651.3	910.2	1971.9	793.8	2346.6	649.5	2584.7	4	924	1612	3178	41.0006	1	I	440.3799
												IH	1		HEAR		560	2494.5	3375.3	177.3	216.5	602.3	440.545	440.512	440.612	0.1	14	6	4	2	0	0										518.3	2592.8	562.9	2485.1	569.2	2385.7	578.4	2229	606	2106.3	4	554	2317	2890	14.6	1	hear	440.5622
												AE	1		CAN'T		791.3	2564.6	3154.4	169.6	117.4	237.1	441.865	441.799	441.998	0.199	3	4	4	2	6	3										715.4	2701	803.8	2529.4	852.5	2235.2	901.1	2061.2	889.2	1926.7	4	746	2645	3168	3.44203	1	can't	441.8543
												AE	1		BAD		722	2108.1	2967.3	84.1	170.6	190	442.798	442.762	442.871	0.109	3	1	4	2	1	0										670.2	2109.3	726.1	2102	738.7	2054	696.6	1986.4	664	1941.3	4	706	2109	2920	3.1421	1	bad	442.7916
												AH	1		JUDGE		759.5	1871.3	2866	107.2	171.2	179.1	445.545	445.498	445.638	0.14	6	2	5	2	5	0										653.3	1971.8	770	1862.8	808.2	1833.6	769.5	1883.5	642.5	1961.7	4	804	1801	2826	6.2525	1	judge	445.5608
												AY	1		RIGHT		799.5	1885.9	2486.4	69.3	193.7	288.3	447.948	447.892	448.052	0.16	47	1	4	1	7	0										760.6	1760.6	799.5	1885.9	748.5	2096.7	669.3	2255.7	590.3	2405.1	5	816	1952	2631	47.1417	1	right	447.9483
												AE	1		EXACTLY		686.7	2060.4	2892.8	107.6	141.7	166.5	448.375	448.322	448.482	0.16	3	1	6	1	3	4										654.8	2018.7	697.5	2059.7	766.6	2072.5	760.8	2092.9	698.7	2152.9	4	761	2040	2846	3.16104	1	(e)xactly	448.4127
												AA	1		COT		1021.1	1589.4	1742.8	159	263.1	1551.4	466.41	466.333	466.563	0.23	5	1	4	1	6	0										1048	1472.2	1022.6	1587	1052.4	1606.8	1015.9	1374.3	923.3	1688.7	6	1136	1671	3028	5.141	1	cot	466.4323
												AH	1		COME		890.2	1576	3075.5	111	111.3	1121.6	468.733	468.696	468.806	0.11	6	4	1	2	6	0										890.8	1594.3	890.1	1574	885.6	1523.9	879.6	1493.3	870.6	1479.3	5	924	1588	3234	6.412	1	come	468.7481
												AW	1		OUT		904.7	1876.1	3002.2	141.9	302.9	206.7	469.674	469.64	469.819	0.179	42	1	4	1	0	0										914.1	1860.5	982.4	1785.3	962.2	1750.4	897.7	1622.4	860.2	1298.1	4	991	1779	2979	42.141	1	out	469.7024
												IY	1		NEED		642.7	2701.9	3092.4	179	152	403.2	470.28	470.25	470.34	0.09	11	1	4	2	4	0										625.1	2706.9	643.9	2700.8	652.6	2646.2	654.1	2512.8	638.7	2275.3	4	647	2706	3088	11.1424	1	need	470.2798
												EH	1		BED		813.8	1865.2	2946.3	82.1	200.8	185.2	470.733	470.71	470.78	0.07	2	1	4	2	1	0										810.6	1854.9	813.8	1865.4	811.7	1865.1	803.1	1864.5	777.7	1850.7	4	812	1861	2982	2.1421	1	bed	470.7417
												EH	1		HOTEL		911.9	1721.3	2876.4	97.8	231.2	362.3	471.26	471.21	471.36	0.15	2	5	4	2	3	0										886.9	1778.9	912.6	1716.2	891.2	1630.1	886.9	1590.3	868.9	1507.8	5	946	1786	3014	2.5423	1	(ho)tel	471.268
												EH	1		BED		925.1	1855.4	2921.7	73.3	159.8	1131.8	472.976	472.919	473.089	0.17	2	1	4	2	1	0										863.8	1837.9	928.2	1857.6	949.3	1891.8	922.6	1938.1	840.2	1992	5	965	1937	3042	2.1421	1	bed	473.009
												ER	1		PERMANENT		785.2	1715.5	3508.2	263.8	169.6	1706	474.896	474.873	474.943	0.07	94	4	1	2	1	2										806.2	1702.6	790.5	1719.6	812	1756.9	808.7	1786.1	794.7	1791.9	4	728	1632	2106	94.60012	1	permanent	474.9267
												EY	1		STAYS		632.2	2538.5	3031.6	223.8	171.2	357	475.616	475.553	475.683	0.13	21	3	4	2	3	0										623.9	2358.4	620.7	2481.6	631.4	2542.5	610.2	2516.6	580.5	2305.9	4	637	2430	3058	22.0023	1	stays	475.5851
												UW	1		ROOM		754.3	1292	2471.9	154.3	157.2	1430.1	476.051	476.043	476.113	0.07	73	4	1	2	7	0										755.1	1283.9	752.4	1232.2	748.1	1168.9	739.4	1117.4	742.6	1091.5	6	754	1319	2657	72.4127	1	room	476.0484
												AA	1		COT		937	1739.2	2538.3	104.2	181.2	330.4	476.765	476.732	476.832	0.1	5	1	4	1	6	0										918.8	1760.7	940.3	1734.7	969.5	1715.6	991.1	1728.9	981.8	1805.8	5	994	1723	2602	5.141	1	cot	476.7978
												UW	1		MOVE		576.4	814.3	2437.5	221.5	113.8	466.2	477.155	477.132	477.201	0.069	72	3	2	2	2	0										580	832.5	576.5	812.9	586.2	812.7	590.7	864.9	599.2	917	6	590	808	2426	72.3222	1	move	477.1583
												AW	1		AROUND		952.3	1693	2649.2	105.5	135.2	800.6	477.397	477.341	477.682	0.341	42	4	4	2	7	3										967.2	1673.3	1014.1	1593	934.3	1403.2	903.9	1271.6	867.8	1219.7	5	1016	1613	2764	42.44273	1	(a)round	477.4569
												EH	1		BED		853.2	1842.8	2879.2	62.8	154.9	271.5	478.557	478.524	478.624	0.1	2	1	4	2	1	0										816.1	1830.1	859.1	1844.8	883.9	1860.2	860.6	1865.9	788.6	1871.3	4	894	1867	2903	2.1421	1	bed	478.5727
												ER	1		PERMANENT		727.4	1533.8	1815	138.7	299.4	711.4	480.531	480.508	480.578	0.07	94	4	1	2	1	2										756	1533.5	725.8	1535.8	719.8	1558.5	736.5	1502.4	739.8	1398.3	6	729	1553	1920	94.60012	1	permanent	480.5465
												AO	1		CAUGHT		880.9	1360.9	2570.3	133.5	150.6	1459.2	493.593	493.536	493.706	0.17	53	1	4	1	6	0										905.3	1357.2	880.3	1360.9	874.5	1335.5	886.9	1332	909.9	1369.5	5	898	1348	2671	53.141	1	caught	493.6616
												EY	1		MAYBE		668.6	2439.4	2995.8	131.4	130.8	429.4	494.581	494.553	494.613	0.06	21	1	1	2	2	1										647.1	2302.5	662.5	2403.6	668.1	2437.9	657.1	2348.2	622.9	2260.3	4	678	2278	2939	21.1122	1	maybe	494.5631
												AY	1		TRYING		894.6	1906.4	2535.5	78	140.8	1068.6	495.88	495.873	495.923	0.05	41	4	6	2	8	0										893.9	1931	886.5	1998.8	869	2086.9	845	2193.6	823.4	2293.1	5	899	1906	2568	41.00283	1	trying	495.8804
												AY	1		HIDE		1031.5	1739.3	2444.7	143.6	220.2	1063.7	496.079	496.092	496.253	0.161	41	1	4	2	0	0										982.5	1793.7	931.3	1889.5	860.2	2038	768.7	2275.1	673	2375.5	5	1011	1781	2626	41.142	1	hide	496.1024
												AA	1		GOT		931.7	1858.3	2740.9	85.7	193.8	635.7	496.892	496.852	496.972	0.12	5	1	4	1	6	0										846.6	1959.5	938.7	1846.9	967	1774.5	976.5	1821.4	908	1904.9	4	947	1720	2518	5.1416	1	got	496.9095
												AO	1		CAUGHT		930.2	1418.7	2798.2	93.9	143.5	362.7	497.142	497.102	497.222	0.12	53	1	4	1	6	0										912.3	1365.4	931.3	1428.3	924.3	1552.4	890.1	1690.8	779.4	1784.1	4	938	1462	2780	53.141	1	caught	497.1493
												IY	1		STEALING		500.1	2645.1	2989.2	107.3	259.6	287.8	497.432	497.392	497.512	0.12	11	5	4	2	3	1										445.8	2538.7	510.1	2645.1	575	2544.3	662.3	2235.5	748.7	1931.5	4	561	2629	2935	11.5423	1	stealing	497.4409
												AA	1		GOT		920.1	1836.3	2571.3	106.1	198.5	709.3	498.102	498.062	498.182	0.12	5	1	4	1	6	0										844.8	1946.3	924.8	1829.2	941.3	1787.5	929.4	1813.1	860.8	1852.5	4	941	1781	2525	5.1416	1	got	498.1197
												AO	1		CAUGHT		905.3	1314.5	2670.7	72	104.4	160.9	498.392	498.322	498.532	0.21	53	1	4	1	6	0										888.6	1316.2	906.2	1315.2	907.9	1337.7	909	1396.9	915.7	1488.8	5	968	1372	2812	53.141	1	caught	498.4029
												UW	1		DOING		432.8	2018.2	2798.1	103.8	378.7	313.7	499.23	499.222	499.292	0.07	73	0	0	0	3	1										435.1	1970.8	467	1784.8	499.9	1613.9	524.3	1543	540.6	1569.7	5	478	1800	3589	73.4423	1	doing	499.2533
												AH	1		DRUGS		850.4	1485.8	2399.1	59.7	110.7	371.6	499.579	499.532	499.672	0.14	6	1	6	2	8	3										837.1	1486.8	851	1487.5	847	1522.3	820.3	1603.2	734.9	1652.1	5	940	1681	3624	6.1628	1	drugs	499.5748
												AY	1		FINDING		950.9	1854.2	3072.2	128.6	184.4	934	500.935	500.945	501.026	0.081	41	4	4	2	1	4										929.2	2066.8	908.8	2200.3	875.2	2366.9	839.2	2466.2	798.3	2500.3	4	953	1862	3097	41.44213	1	finding	500.9363
												AW	1		OUT		992.9	1903.5	2852.4	195.6	173	417.3	501.243	501.206	501.456	0.25	42	1	4	1	0	0										1053.4	1816.3	1065.1	1670.2	928.2	1527	841.9	1302.5	719.8	1141	5	1119	1749	2916	42.141	1	out	501.2731
												EY	1		MAYBE		649.3	2534.6	2978.2	122.8	235.8	235.2	501.719	501.706	501.796	0.09	21	1	1	2	2	1										644.5	2563.6	629.3	2610.6	612.6	2654.3	609.2	2663.7	608	2579.2	4	655	2503	2990	21.1122	1	maybe	501.7146
												AH	1		MUCH		916.4	1554.9	1822.1	105.2	161.4	756.8	502.799	502.766	502.866	0.1	6	2	5	1	2	0										904.4	1456	916.2	1568	896.9	1683.8	832.9	1779.7	746.5	1822.9	6	1013	1661	2936	6.16123	1	much	502.8049
												AE	1		ACT		953	2211.3	3044.5	111.4	167.7	768.4	503.426	503.346	503.586	0.24	3	1	6	1	0	3										913.7	2299.3	958.6	2199.9	1031.6	2142.9	1089.3	2057.2	1012.5	2011.7	4	902	2348	3101	3.16163	1	act	503.3823
												AY	1		FINDING		859.8	1950.4	2950.2	106.8	109.2	1968.9	504.158	504.125	504.225	0.1	41	4	4	2	1	4										849.4	1831.3	859.3	1967.9	846.9	2090.3	822.3	2181.1	790	2213.5	5	864	2061	3044	41.44213	1	finding	504.1707
												AW	1		OUT		955.4	1853.6	2656.6	105.5	128.8	542.1	504.439	504.415	504.595	0.18	42	1	4	1	0	0										969.1	1777.7	962	1665.2	929.2	1519.2	847	1351.6	767.2	1431.9	5	1008	1784	2971	42.141	1	out	504.4565
												IH	1		OVERHEARING		653.3	2471.9	3279.9	149.7	82.9	837.5	505.897	505.874	505.944	0.07	14	6	4	2	0	1										630.7	2505.4	655	2467.8	666.1	2406.8	673.3	2323.1	693.1	2226.8	4	648	2472	3021	14.6	1	(over)hearing	505.8945
												EH	1		INVESTIGATING		804.1	1726.6	2777.3	65.7	158.8	491.6	506.799	506.772	506.852	0.08	2	3	4	1	1	5										785.1	1710.3	806	1727.4	826.6	1739.7	829.2	1748.7	833.1	1774	5	823	1735	2802	2.34211	1	(in)vestigating	506.808
												EY	2		INVESTIGATING		594.4	2568.4	3226.1	174.9	142.8	397.9	507.081	507.052	507.112	0.06	21	1	4	1	6	1										533.5	2632.2	570.4	2603	596.2	2563.1	599.8	2500.3	593.2	2412.5	4	598	2567	3236	21.1416	1	(investi)gating	507.0818
												IY	1		SCENE		650.4	2648.9	3101.2	244.3	248.4	302.4	507.431	507.391	507.511	0.12	11	4	4	2	3	0										619.2	2648.1	654.9	2651.3	710.5	2702.6	744.8	2734.3	756.1	2651.8	4	716	2714	3126	11.442	1	scene	507.4518
												EH	1		INVESTIGATING		832.7	1807.7	3388.8	142.8	192.1	540.1	507.985	507.962	508.032	0.07	2	3	4	1	1	5										827.3	1830.7	834	1805.6	844.3	1788.2	844.2	1782.5	845.8	1829.1	4	849	1795	3275	2.34211	1	(in)vestigating	507.9978
												EY	2		INVESTIGATING		586.3	2610.8	3217.4	160.9	168.4	497	508.28	508.242	508.331	0.089	21	1	4	1	6	1										560.3	2622	582.8	2613	583.7	2606.6	568.2	2575.1	540.7	2508.5	5	595	2629	3281	21.1416	1	(investi)gating	508.2792
												EH	1		BET		847.2	1917.2	2891.6	90.5	137.9	274.7	525.598	525.555	525.685	0.13	2	1	4	1	1	0										797.4	1880	857.7	1923.9	955.7	1947.7	996.6	1934.7	987.4	1970.8	4	1003	1926	2988	2.1411	1	bet	525.6406
												AO	1		MORE		747.6	1122.8	2555.3	97.8	74.1	430.5	526.111	526.084	526.164	0.08	64	6	4	2	2	0										740	1114.3	748.6	1124.2	753.8	1149.7	752.3	1204.3	759.4	1280.2	5	759	1140	2592	64.6002	1	more	526.1203
												EH	1		BET		791.4	1946.5	2738.7	59.5	128.7	356	528.539	528.502	528.613	0.111	2	1	4	1	1	0										740.7	1907.9	797.9	1953.2	826	1979.8	839.1	2032.6	803.7	2152.5	4	845	2028	2810	2.1411	1	bet	528.5746
												AW	1		AMOUNT		962.2	1432.9	1962.6	183.6	110.3	734.6	533.091	533.077	533.167	0.09	42	4	4	2	2	3										972.3	1442.6	984	1458.2	967.7	1433.4	960.2	1389.5	947.4	1341	6	1093	1517	3308	42.44223	1	(a)mount	533.1111
												EH	1		GUESS		852.9	1988.4	3000.2	96.7	159.9	250.4	534.066	534.006	534.186	0.18	2	3	4	1	6	0										750.1	2195.5	863.2	1976.3	899.8	1886.8	890.1	1845.6	840.3	1771	5	902	1895	2723	2.3416	1	guess	534.0942
												EH	1		GUESS		740.4	2204.6	2732.6	77.6	206.2	598.2	535.395	535.368	535.448	0.08	2	3	4	1	6	0										698.1	2316.5	743.2	2193.5	770.4	2009.1	784.7	1747.1	781.3	1807.6	5	775	2117	2820	2.3416	1	guess	535.4064
												EH	1		EXTRA		927.5	1661.3	2035.7	52.9	156.6	1392.8	535.897	535.864	535.964	0.1	2	1	6	1	0	4										903.3	1715.1	930.3	1657.6	945.8	1630.8	943.4	1676.3	872.9	1745.9	6	1005	1731	2846	2.16101	1	extra	535.9149
												AA	1		DOLLARS		948.7	1712.5	2821.1	110.6	276.1	298.9	538.111	538.074	538.184	0.11	5	5	4	2	3	1										932.5	1778.7	949.2	1707.7	944.9	1624.1	914	1504.2	874.7	1403.7	4	949	1730	2804	5.54231	1	dollars	538.1075
												AE	1		HAVE		932.6	1849.2	2841.7	65	212.9	1273.4	538.701	538.644	538.814	0.17	3	3	2	2	0	0										938.9	1882.1	931.7	1845.1	916.8	1814.9	898.1	1811.5	829.7	1786.3	5	952	1959	3062	3.322	1	have	538.6747
												AA	1		DOLLARS		871.4	1700.5	2985.8	71.5	226.5	209.8	539.214	539.164	539.314	0.15	5	5	4	2	3	1										823.3	1820.8	874	1690.1	872	1537	838	1434.6	812.1	1448.4	5	880	1700	3021	5.54231	1	dollars	539.2157
												EH	1		VERY		780.9	1993.9	2634.3	114.3	225.8	214.2	542.761	542.741	542.802	0.061	2	6	4	2	1	1										782.9	2005.3	764	1949.5	648.7	1500.6	543.6	1084.7	521.3	892.5	6	699	2158	2659	2.60011	1	very	542.7289
												AH	1		RUG		857.2	1688.8	1844	84.4	139.7	2027.4	552.277	552.254	552.324	0.07	6	1	6	2	7	0										822.6	1659.5	859.4	1694	851.2	1667	795.6	1630.8	708.4	1551	6	926	1811	3068	6.1627	1	rug	552.2855
												ER	1		PERMANENT		768.6	1637.5	1940.3	139.5	275	181.3	553.588	553.558	553.649	0.091	94	4	1	2	1	2										806.8	1646.8	767.9	1633.1	755.3	1616.1	770.8	1634	792.8	1630.6	6	790	1727	1937	94.60012	1	permanent	553.6106
												EH	1		BED		795.4	1742.3	2845.3	49.6	133.9	131.1	554.528	554.508	554.569	0.061	2	1	4	2	1	0										767.7	1706.8	798.6	1747.3	818.4	1787.2	827.9	1805.9	830.9	1818.7	5	832	1829	3000	2.1421	1	bed	554.5631
												AA	1		COT		1019.3	1864.6	2927.5	111.9	145.3	389.2	554.892	554.849	554.979	0.13	5	1	4	1	6	0										1053	1782.3	1013.4	1874.9	930.5	1959.4	848.9	2035.7	759.6	2077.5	5	1046	1777	2734	5.141	1	cot	554.8769
												EY	1		STAYS		590.1	2607.6	3215	190.8	129	1236	555.215	555.188	555.379	0.191	21	3	4	2	3	0										573.8	2620.7	498.7	2450.1	511	2778.1	505.8	2650	529.2	2313.1	5	593	2671	3366	22.0023	1	stays	555.2247
												IH	1		IN		828.7	2153.5	2634.7	79.5	98.1	1862.7	555.582	555.539	555.669	0.13	1	4	4	2	0	0										791.3	1813.8	830	2152.7	834.9	2127	830.6	2072.2	824.7	1788.5	6	851	2117	3263	1.442	1	in	555.6176
												EY	1		STAPLED		576.9	2445.7	3091.2	161	121.7	427.5	558.199	558.168	558.268	0.1	21	1	1	1	3	1										560.9	2342.7	573.7	2464.3	537	2472.1	502.5	2202.5	485.8	1745.6	5	579	2435	3069	21.11133	1	stapled	558.1988
												AE	1		MAT		868.9	2324.7	3186.6	54.4	114.9	892.1	559.591	559.561	559.651	0.09	3	1	4	1	2	0										861.6	2310.4	869.7	2325.7	883.2	2323.3	896.4	2312.2	912.7	2275.4	5	877	2328	3158	3.1412	1	mat	559.5978
												OW	1		THROW		807.2	1520	2243.8	66.4	156.6	120.5	561.106	561.089	561.249	0.16	63	0	0	0	8	0										816.7	1463	793.6	1363.9	746.9	1239.8	679	1074.1	698.7	1048.9	5	819	1451	2322	62.0008	1	throw	561.1251
												OW	1		GO		657.7	1703.8	2742.8	89.8	234.3	148.2	623.372	623.357	623.497	0.14	63	0	0	0	6	0										688.2	1629.7	684.4	1529.4	669.9	1438.2	644.9	1396.7	614.5	1553.3	5	686	1578	2710	62.0006	1	go	623.3951
												UW	1		TO		537.9	1949.5	2790	138.6	79.3	120.7	623.634	623.627	623.887	0.26	73	0	0	0	3	0										583.9	1868.5	599.8	1674	606.1	1458.3	586.2	1284.7	510.7	1204.4	5	570	1941	2763	73.0003	1	to	623.6477
												EH	1		VERY		642.9	2043	2794.6	78.6	53.7	244.9	624.324	624.287	624.397	0.11	2	6	4	2	1	1										638.3	2027.5	643.5	2042.9	652.2	2036.6	651.6	2033	643.8	2017.9	5	647	2041	2797	2.60011	1	very	624.3297
												EH	1		DRESS		772.7	1860.7	2442.4	102.3	263.6	494.3	624.96	624.937	625.007	0.07	2	3	4	1	8	0										734	1920.7	775.7	1853	789.9	1775.4	798.9	1743.6	805.7	1755.2	5	799	1735	2473	2.3418	1	dress	624.9829
												OW	1		CODE		693.8	1527.4	2540	151.4	314.7	545.3	625.197	625.177	625.357	0.18	62	1	4	2	6	0										720.1	1467.7	715.3	1394.5	691.2	1319.4	649.3	1327.4	624.4	1386.1	5	721	1414	2533	62.142	1	code	625.2363
												AE	1		HAVE		958.5	1814.2	2767.4	68.1	109.3	190.3	625.932	625.905	625.985	0.08	3	3	2	2	0	0										969.6	1831.4	957.2	1813.4	943	1803.2	940.5	1812.6	945.5	1894.8	5	968	1873	2698	3.322	1	have	625.9099
												AH	1		BUTTON		830.9	1509.5	2737.2	78.5	211	313	626.402	626.365	626.475	0.11	6	1	4	1	1	1										765.4	1470	835.1	1515.7	880	1595.4	913.3	1625.8	919.2	1710.2	5	915	1611	2849	6.14111	1	button	626.4337
												AW	1		DOWN		785.9	1891.1	3072.2	91.6	139.3	326.4	626.672	626.644	626.754	0.11	42	4	4	2	3	0										756.4	1902.3	848.8	1862.9	902.9	1854.2	916.6	1847.6	926.5	1808.4	4	904	1834	2933	42.4423	1	down	626.6991
												ER	1		SHIRTS		618	1909	2114.1	109.5	369.4	206.6	626.994	626.964	627.055	0.091	94	1	4	1	5	3										627.4	1916.4	616.7	1910.4	616.4	1924.8	614.5	1979	604.3	1992.7	6	624	1980	2197	94.60053	1	shirts	627.0053
												AA	1		COLLAR		978.5	1558.9	2391.4	71.4	311.4	633.5	627.475	627.425	627.575	0.15	5	5	4	2	6	1										974.7	1677.2	978.4	1554.8	979.5	1508.3	971.1	1482.6	951.9	1447.2	5	971	1481	2561	5.54201	1	collar	627.5189
												OY	1		BOYS		592.7	1183.7	2663	146.9	77.9	314.3	628.11	628.07	628.19	0.12	61	3	4	2	1	0										580.4	1057.7	593.9	1202.9	590.5	1478.6	556.7	1881.1	503.2	2095.3	5	565	952	2600	61.0021	1	boys	628.0803
												AE	1		AND		805.8	2831.2	3449.8	189.7	212.7	1291.6	628.39	628.35	628.47	0.12	3	4	4	2	0	3										744.4	2930	812.9	2813.4	859.5	2553.7	878.1	2249.2	870.4	2119.6	4	803	2933	3789	3.44203	1	and	628.361
												ER	1		GIRLS		672.4	1706.4	1983.4	195.9	196.4	639	628.646	628.619	628.7	0.081	94	5	4	2	6	3										632.1	1718.1	675.7	1702.5	707.2	1639.7	720.1	1574.1	737.9	1554.3	5	652	1707	1993	94.60053	1	girls	628.6416
												AE	1		MATTER		865.7	2011.6	3008.8	108.5	133.5	349.7	629.519	629.502	629.552	0.05	3	1	4	1	2	1										865.9	2016.5	865.7	2011.6	861.1	1995.2	854.6	1977	841.7	1966.2	4	848	1971	2840	3.14121	1	matter	629.5125
												EH	1		SEX		908.1	1863.4	2929	79.6	242.3	185.7	629.928	629.891	630.002	0.111	2	1	6	1	3	3										839.3	1864.4	913.2	1862.9	932.8	1849.7	959.7	1859.4	961.2	1908.2	4	964	1841	2823	2.16133	1	sex	629.9616
												EY	1		HATE		620.1	2755.5	3406.1	225.2	211.3	1130	630.648	630.636	630.736	0.1	21	1	4	1	0	0										591	2748.2	559.6	2768.1	539.2	2818.3	534.4	2837.7	524.2	2785.5	4	560	2756	3249	21.141	1	hate	630.6691
												OW	1		THOSE		671.1	1529.7	2796	151.8	359.9	222.9	630.874	630.866	630.936	0.07	62	3	4	2	3	0										668.2	1507.1	652	1407.3	625	1343.4	609.4	1345.3	600.2	1448.3	5	669	1470	2759	62.3423	1	those	630.8834
												ER	1		SHIRTS		608.7	1925.7	2188.1	83.2	170.6	236.6	631.129	631.085	631.216	0.131	94	1	4	1	5	3										611.9	2005.4	607.2	1917.3	586.7	1863.1	578	1836.1	559.8	1951.3	5	581	1850	2057	94.60053	1	shirts	631.1539
												UH	1		LOOK		700.2	1480.8	2808.6	108.7	161.1	741.3	632.839	632.819	632.879	0.06	7	1	6	1	7	0										721	1487.5	695.7	1479.4	640.3	1465.2	587.4	1476.9	605.5	1575.8	5	731	1495	2980	7.1617	1	look	632.8267
												AE	1		SACKS		845.5	2209.9	3356	85.4	127	657.5	633.249	633.199	633.348	0.149	3	1	6	1	3	3										779.9	2151.2	846.3	2216.2	873.7	2246.7	950.4	2206.9	968.2	2161.3	4	830	2179	2908	3.1613	1	sacks	633.2554
												AE	1		CAN'T		657.4	2495.1	3212	160.8	494	395	634.535	634.515	634.575	0.06	3	4	4	2	6	3										606.6	2523.8	664.4	2491.2	732.9	2466	788.5	2427.4	814	2393.8	4	799	2296	3140	3.44203	1	can't	634.5651
												IY	1		EVEN		635.3	2783.7	3579.9	264.6	573.3	421.3	634.665	634.635	634.725	0.09	11	3	2	2	0	1										689.8	2748.7	631.3	2783.7	583.7	2760.6	567.7	2705.3	538.7	2485.3	4	694	2749	3505	11.32201	1	even	634.6518
												AY	1		TIE		1036.7	1829.1	2832.8	89.9	303.7	692.9	634.986	634.944	635.135	0.191	41	0	0	0	3	0										1035.5	1804.9	1013.1	1952	912.9	2081.4	834	2163.5	755.1	2185.4	5	1062	1947	3225	41.0003	1	tie	634.9894
												AA	1		BOTTOM		1006.6	1603.9	3082.6	121	305.4	681.9	635.602	635.545	635.715	0.17	5	1	4	1	1	1										974.5	1612.2	1008.3	1600.5	1019.3	1589.8	995	1648.5	936.4	1772.6	4	1011	1588	3170	5.14111	1	bottom	635.6145
												AE	1		JAN		726.4	2581.9	3344.5	114.4	269.5	247.2	636.804	636.754	636.905	0.151	3	4	4	2	5	0										630.5	2609.6	742.5	2572.7	852.5	2406.1	898.2	2161.5	917.8	2067.2	5	651	2604	3345	3.4425	1	Jan	636.7865
												AA	1		GOT		960.6	1825.8	2527.9	53.4	368.3	723.4	637.118	637.045	637.265	0.22	5	1	4	1	6	0										929.9	1873.7	962.2	1826.1	963.7	1810.1	951.9	1842.9	872.2	1916.7	5	967	1805	2645	5.1416	1	got	637.1411
												EH	1		DETENTION		913.5	2034.5	3274.6	147.3	155.3	293.3	637.581	637.564	637.615	0.051	2	4	4	2	3	4										912.6	2026	913.7	2037.3	910.8	2057.6	898.3	2070.8	880.9	2078.8	4	907	2036	3029	2.44234	1	(de)tention	637.5833
												AE	1		THAT		902.7	2019.7	3210.3	89.7	167.9	411.2	638.055	638.025	638.115	0.09	3	1	4	1	3	0										891.9	2013.3	903.2	2019.5	911.9	2019.5	918.9	2022.9	913.6	2027.4	4	910	1977	3056	3.1413	1	that	638.0758
